GPS_TIME (ms),LONG (deg),LAT (deg),ELEV (m),SPEED (m/s),SYSTEM_TIME (ms),ACCEL_Y (m/s^2),ACCEL_X (m/s^2),ACCEL_Z (m/s^2),PITCH_RATE (rad/s),ROLL_RATE (rad/s),YAW_RATE (rad/s),PITCH (rad),ROLL (rad),MATH_GRID_X,MATH_GRID_Y,MATH_GRID_Z,MATH_GRID_X_DELTA,MATH_GRID_Y_DELTA,MATH_GRID_X_SPEED,MATH_GRID_Y_SPEED,MATH_GRID_X_ACCEL,MATH_GRID_Y_ACCEL,MATH_DISTANCE_FROM_PREV,MATH_ELAPSED_DISTANCE,MATH_CALC_SPEED,MATH_GNSS_SPEED_LAG,MATH_RADIUS,MATH_RADIUS_DIFFERENTIAL
68969100,-81.85792307,41.3995246,236.4,13.02058888,1747595369087,-5.354589939,-7.789628506,8.29503727,0.1589447856,0.03458102793,-0.1093174294,-0.02534766551,-0.2077126615,677832.6967,-4737771.374,235.6,-20.54448498,-18.75453347,-9.895094534,-8.2247297,2.437526776,-4.617540339,1.286697612,28.19950489,12.86697612,-0.1536127574,-39.75250772,0.03120775391
68969200,-81.8579346,41.39951673,236.3,13.03087777,1747595369195,2.687923431,-7.121760368,8.331780434,-0.2918839753,-0.2365121543,1.193130732,-0.0647564028,-0.2299083877,677831.745,-4737772.263,235.5,-21.49618233,-19.64279686,-9.516973472,-8.882633932,3.290435973,-4.632098569,1.301821684,29.50132658,13.01821684,-0.01266092859,-36.95283117,0.02799676546
68969300,-81.85794582,41.39950817,236.3,13.50416666,1747595369314,-1.378818989,-8.588155746,10.17119503,-0.1665006727,-0.1357668191,-0.1749199033,-0.1056349731,-0.2304891819,677830.8242,-4737773.198,235.5,-22.41701832,-20.57794752,-9.20835996,-9.351506541,3.936181315,-4.371249943,1.312419779,30.81374636,13.12419779,-0.3799688609,-36.04358412,0.009092470519
68969400,-81.85795602,41.39949893,236.3,13.59419443,1747595369411,-0.7913634777,-7.573563099,9.947513103,-0.03867287934,-0.2590945885,-0.8684255779,-0.1342388512,-0.2211228952,677829.9406,-4737774.223,235.5,-23.30059827,-21.60353684,-8.835799502,-10.25589322,4.58048152,-4.019992471,1.353715991,32.16746235,13.53715991,-0.05703451912,-37.03973762,-0.009961534989
68969500,-81.85796622,41.39948968,236.3,13.68422221,1747595369508,-0.2039079666,-6.558970451,9.723831177,0.08915491402,-0.3824223578,-1.561931252,-0.1628427293,-0.2117566084,677829.1199,-4737775.298,235.5,-24.1213434,-22.67823733,-8.20745127,-10.74700485,5.135569389,-3.836521188,1.352258739,33.51972109,13.52258739,-0.1616348249,-35.13540964,0.01904327982
68969600,-81.85797603,41.39947848,236.3,12.89197777,1747595369595,2.577855587,-5.869893074,10.02187252,0.03898488358,-0.3060505092,-1.148359656,-0.1826937828,-0.213888301,677828.3567,-4737776.406,235.5,-24.88453628,-23.78648166,-7.631928769,-11.08244334,5.544702767,-3.60090563,1.345610966,34.86533205,13.45610966,0.5641318941,-33.73031192,0.01405097721
68969700,-81.8579838,41.39946841,236.25,12.64761666,1747595369690,-0.8421552181,-6.235482216,10.07478142,0.01979057351,-0.2995618284,-1.041458815,-0.1963309553,-0.1977427652,677827.6555,-4737777.535,235.45,-25.58572842,-24.91529709,-7.011921445,-11.28815426,5.976676612,-3.257099938,1.328869703,36.19420175,13.28869703,0.641080378,-31.96082316,0.01769488755
68969800,-81.85799157,41.39945833,236.2,12.40325554,1747595369784,-4.262166023,-6.601071358,10.12769032,0.0005962634459,-0.2930731475,-0.9345579743,-0.2099681278,-0.1815972293,677827.0348,-4737778.686,235.4,-26.20643082,-26.06653685,-6.207024035,-11.51239767,6.343323814,-2.964232888,1.307908435,37.50211019,13.07908435,0.6758288046,-30.059989,0.01900834159
68969900,-81.85799805,41.39944817,236.2,12.71192221,1747595369897,-1.10508132,-6.188678265,10.37654591,-0.03262584284,0.005026557017,0.9846715927,-0.226806036,-0.169071803,677826.4882,-4737779.816,235.4,-26.75303818,-27.19664955,-5.466073574,-11.30112701,6.492559408,-2.696399002,1.255362227,38.75747242,12.55362227,-0.1582999436,-27.48994452,0.02570044481
68970000,-81.85800342,41.39943792,236.2,12.60131666,1747595369998,-0.6870077252,-6.053018332,10.21007109,0.005916848779,0.1511297564,1.069013059,-0.2454647558,-0.161272016,677826.0043,-4737780.955,235.4,-27.23694973,-28.33528721,-4.83911549,-11.38637657,6.672220172,-2.054613002,1.237200914,39.99467333,12.37200914,-0.229307515,-26.95549552,0.005344490034
68970100,-81.8580088,41.39942767,236.2,12.4907111,1747595370099,-0.2689341307,-5.917358398,10.04359627,0.0444595404,0.2972329557,1.153354526,-0.2641234756,-0.153472229,677825.583,-4737782.102,235.4,-27.65816547,-29.48244982,-4.212157407,-11.47162613,6.786145296,-1.43288624,1.222049411,41.21672274,12.22049411,-0.2702169943,-26.58006303,0.003754324929
68970200,-81.85801281,41.39941721,236.15,12.40582777,1747595370188,-1.931521356,-6.078383684,10.38320541,-0.005666235462,-0.1098230034,0.07733213902,-0.283547034,-0.1617703472,677825.2238,-4737783.258,235.35,-28.01738048,-30.63850804,-3.592150081,-11.5605822,6.714710895,-0.9499624927,1.210580865,42.42730361,12.10580865,-0.3000191178,-26.72576804,-0.001457050174
68970300,-81.85801682,41.39940675,236.1,12.32094443,1747595370277,-3.594108582,-6.23940897,10.72281456,-0.05579201132,-0.5168789625,-0.9986902475,-0.3029705925,-0.1700684655,677824.9293,-4737784.44,235.3,-28.31195347,-31.81995581,-2.945729886,-11.81447765,6.878911399,-0.5459912418,1.217617373,43.64492098,12.17617373,-0.1447707051,-26.60286514,0.001229028993
68970400,-81.85801958,41.39939618,236.1,11.62644443,1747595370386,-1.955231309,-6.662321091,9.978889465,-0.163458094,-0.3424753845,0.5557177663,-0.3276227139,-0.1806138174,677824.6993,-4737785.647,235.3,-28.54188444,-33.02679312,-2.299309688,-12.06837309,6.867959247,-0.001872030043,1.228545701,44.87346668,12.28545701,0.6590125772,-27.34174729,-0.007388821412
68970500,-81.85802108,41.39938479,236.1,11.70875555,1747595370503,-1.745893419,-7.492400169,9.798621178,-0.1163223647,-0.1719932982,0.5325940251,-0.3527047274,-0.1831011941,677824.5279,-4737786.864,235.3,-28.71329005,-34.24382331,-1.714056137,-12.17030192,6.821905667,0.07154313877,1.229041241,46.10250792,12.29041241,0.5816568648,-27.3715605,-0.0002981321513
68970600,-81.85802258,41.3993734,236.1,11.79106666,1747595370619,-1.536555529,-8.322479248,9.61835289,-0.06918663532,-0.001511211973,0.509470284,-0.3777867409,-0.1855885708,677824.4384,-4737788.087,235.3,-28.80281577,-35.46715456,-0.8952572173,-12.23331247,6.984597408,0.1375792231,1.226602704,47.32911063,12.26602704,0.474960384,-26.43316138,0.009383991157
68970700,-81.85802308,41.39936248,236.1,12.55244443,1747595370685,-1.376318574,-8.921849251,9.732274055,0.1212176681,0.1906186938,1.157658339,-0.394277522,-0.1857378801,677824.41,-4737789.314,235.3,-28.83117485,-36.69437763,-0.2835907973,-12.27223073,7.048915183,0.2422010057,1.227550695,48.55666132,12.27550695,-0.2769374843,-26.15415154,0.002790098412
68970800,-81.85802218,41.39935174,236.15,12.31579999,1747595370790,-2.717522681,-8.775158405,10.15523434,0.0430192817,0.08323585987,1.021885008,-0.4154534442,-0.1943733883,677824.4445,-4737790.52,235.35,-28.79669911,-37.89991766,0.34475744,-12.05540033,7.104403062,0.4425145043,1.206032897,49.76269422,12.06032897,-0.2554710211,-24.95192485,0.0120222669
68970900,-81.85802128,41.399341,236.2,12.07915555,1747595370894,-4.058726788,-8.62846756,10.57819462,-0.03517910466,-0.02414697409,0.8861116767,-0.4366293664,-0.2030088965,677824.5663,-4737791.698,235.4,-28.67492188,-39.0782149,1.217772241,-11.78297237,7.336361497,0.5061212049,1.184573371,50.94726759,11.84573371,-0.2334218313,-23.2675026,0.01684422256
68971000,-81.85801902,41.39933058,236.2,11.45153332,1747595371002,-1.855191231,-8.521976471,9.559280396,-0.01953702047,0.01145852637,1.08787322,-0.4645510028,-0.20957588,677824.7587,-4737792.86,235.4,-28.48252499,-40.23983287,1.923968932,-11.61617975,7.396289322,0.9460306113,1.177443368,52.12471096,11.77443368,0.322900352,-22.66280668,0.006046959183
